,word,frequency,rank,ln_frequency,ln_rank
2390,destiny,8,2043,2.0794415416798357,7.622174594817622
10318,stan,8,2044,2.0794415416798357,7.622663951323595
4771,leavin,8,2045,2.0794415416798357,7.623153068476902
5909,serve,8,2046,2.0794415416798357,7.6236419465115715
3516,tim,8,2047,2.0794415416798357,7.624130585661289
448,diss,8,2048,2.0794415416798357,7.6246189861593985
10311,.paak,8,2049,2.0794415416798357,7.6251071482389
10322,jessie,8,2050,2.0794415416798357,7.6255950721324535
1503,di,8,2051,2.0794415416798357,7.62608275807238
454,rapping,8,2052,2.0794415416798357,7.62657020629066
10323,reyez,8,2053,2.0794415416798357,7.627057417018934
3519,spring,8,2054,2.0794415416798357,7.627544390488503
10327,idk,8,2055,2.0794415416798357,7.628031126930335
2790,hang,8,2056,2.0794415416798357,7.628517626575055
5866,given,8,2057,2.0794415416798357,7.6290038896529575
462,toast,8,2058,2.0794415416798357,7.629489916393995
468,indo,8,2059,2.0794415416798357,7.629975707027789
2751,worldwide,8,2060,2.0794415416798357,7.630461261783627
469,weeks,8,2061,2.0794415416798357,7.630946580890459
5840,papers,8,2062,2.0794415416798357,7.631431664576906
4797,hearted,8,2063,2.0794415416798357,7.631916513071252
1241,stash,8,2064,2.0794415416798357,7.6324011266014535
6655,legend,8,2065,2.0794415416798357,7.632885505395133
5833,chop,8,2066,2.0794415416798357,7.633369649679584
2973,difference,8,2067,2.0794415416798357,7.633853559681768
5911,spent,8,2068,2.0794415416798357,7.63433723562832
10310,anderson,8,2069,2.0794415416798357,7.634820677745543
3506,bobby,8,2070,2.0794415416798357,7.635303886259415
1242,loot,8,2071,2.0794415416798357,7.635786861395585
2190,91,8,2072,2.0794415416798357,7.6362696033793735
4805,shady,8,2073,2.0794415416798357,7.636752112435779
6684,apart,8,2074,2.0794415416798357,7.637234388789473
7056,shining,8,2075,2.0794415416798357,7.637716432664798
5967,minute,8,2076,2.0794415416798357,7.638198244285779
2201,higher,8,2077,2.0794415416798357,7.638679823876112
2202,97,8,2078,2.0794415416798357,7.639161171659173
4506,cocaine,8,2079,2.0794415416798357,7.639642287858013
5822,bull,8,2080,2.0794415416798357,7.640123172695364
11062,daydream,8,2081,2.0794415416798357,7.640603826393634
2995,theory,8,2082,2.0794415416798357,7.641084249174914
706,journey,8,2083,2.0794415416798357,7.641564441260972
3458,hung,8,2084,2.0794415416798357,7.642044402873258
1627,fruit,8,2085,2.0794415416798357,7.642524134232902
3866,trippin,8,2086,2.0794415416798357,7.643003635560718
7068,genre,8,2087,2.0794415416798357,7.643482907077201
6701,shoes,8,2088,2.0794415416798357,7.643961949002529
2737,score,8,2089,2.0794415416798357,7.644440761556566
4422,pooh,8,2090,2.0794415416798357,7.644919344958857
7189,fully,8,2091,2.0794415416798357,7.645397699428633
441,spread,8,2092,2.0794415416798357,7.645875825184813
675,longer,8,2093,2.0794415416798357,7.646353722445999
5927,yea,8,2094,2.0794415416798357,7.646831391430482
5728,someone,8,2095,2.0794415416798357,7.647308832356238
671,final,8,2096,2.0794415416798357,7.647786045440933
1491,poppin,8,2097,2.0794415416798357,7.64826303090192
4768,label,8,2098,2.0794415416798357,7.6487397889562425
5921,giving,8,2099,2.0794415416798357,7.649216319820633
1222,maintain,8,2100,2.0794415416798357,7.649692623711514
3125,borough,8,2101,2.0794415416798357,7.650168700845001
268,cuz,8,2102,2.0794415416798357,7.650644551436897
2100,65,8,2103,2.0794415416798357,7.6511201757027
12451,lad,8,2104,2.0794415416798357,7.651595573857601
9268,swift,8,2105,2.0794415416798357,7.652070746116482
6266,math,8,2106,2.0794415416798357,7.652545692693921
12404,husband,8,2107,2.0794415416798357,7.653020413804189
5194,shoulder,8,2108,2.0794415416798357,7.653494909661253
951,grows,8,2109,2.0794415416798357,7.653969180478774
8691,noize,8,2110,2.0794415416798357,7.6544432264701125
1999,supa,8,2111,2.0794415416798357,7.65491704784832
6317,vorbei,8,2112,2.0794415416798357,7.655390644826152
9132,united,8,2113,2.0794415416798357,7.655864017616056
3730,electric,8,2114,2.0794415416798357,7.656337166430183
1439,parties,8,2115,2.0794415416798357,7.656810091480378
3640,fab,8,2116,2.0794415416798357,7.65728279297819
12690,thus,8,2117,2.0794415416798357,7.6577552711348655
1985,symphony,8,2118,2.0794415416798357,7.658227526161352
176,witness,8,2119,2.0794415416798357,7.6586995582682995
9272,ham,8,2120,2.0794415416798357,7.659171367666058
1774,krayzie,8,2121,2.0794415416798357,7.659642954564682
940,birth,8,2122,2.0794415416798357,7.660114319173928
1126,suede,8,2123,2.0794415416798357,7.660585461703256
5408,seem,8,2124,2.0794415416798357,7.66105638236183
4249,murray,8,2125,2.0794415416798357,7.661527081358517
1442,latifah,8,2126,2.0794415416798357,7.661997558901893
1691,wants,8,2127,2.0794415416798357,7.6624678152002375
3631,chrysalis,8,2128,2.0794415416798357,7.662937850461535
5418,opportunity,8,2129,2.0794415416798357,7.663407664893479
4037,early,8,2130,2.0794415416798357,7.6638772587034705
5431,snap,8,2131,2.0794415416798357,7.664346632098617
5438,lab,8,2132,2.0794415416798357,7.664815785285735
2506,digable,8,2133,2.0794415416798357,7.665284718471351
16142,among,8,2134,2.0794415416798357,7.665753431861699
910,naked,8,2135,2.0794415416798357,7.666221925662725
1337,stacks,8,2136,2.0794415416798357,7.666690200080086
989,rising,8,2137,2.0794415416798357,7.667158255319148
3230,tales,8,2138,2.0794415416798357,7.6676260915849905
4103,kings,8,2139,2.0794415416798357,7.668093709082406
1032,telling,8,2140,2.0794415416798357,7.668561108015897
2924,blame,8,2141,2.0794415416798357,7.669028288589683
6340,auf,8,2142,2.0794415416798357,7.669495251007694
5303,appreciate,8,2143,2.0794415416798357,7.669961995473577
3341,faith,8,2144,2.0794415416798357,7.670428522190693
4102,virgin,8,2145,2.0794415416798357,7.6708948313621175
8879,5'9,8,2146,2.0794415416798357,7.671360923190644
990,chapter,8,2147,2.0794415416798357,7.671826797878781
8,walkin,8,2148,2.0794415416798357,7.672292455628756
1067,weather,8,2149,2.0794415416798357,7.67275789664251
2586,hittin,8,2150,2.0794415416798357,7.673223121121708
2587,strictly,8,2151,2.0794415416798357,7.67368812926773
2593,frame,8,2152,2.0794415416798357,7.674152921281675
6852,soldier,8,2153,2.0794415416798357,7.674617497364363
8715,czar,8,2154,2.0794415416798357,7.675081857716334
13609,tis,8,2155,2.0794415416798357,7.675546002537848
5258,forgot,8,2156,2.0794415416798357,7.6760099320288875
7480,dust,8,2157,2.0794415416798357,7.676473646389156
6327,nicht,8,2158,2.0794415416798357,7.67693714581808
1920,hotel,8,2159,2.0794415416798357,7.677400430514807
1112,pipe,8,2160,2.0794415416798357,7.67786350067821
6770,gyeah,8,2161,2.0794415416798357,7.6783263565068856
80,problem,8,2162,2.0794415416798357,7.6787889981991535
6760,reggie,8,2163,2.0794415416798357,7.679251425953058
1001,doc,8,2164,2.0794415416798357,7.679713639966372
3240,stakes,8,2165,2.0794415416798357,7.68017564043659
6318,lyrics[hook,8,2166,2.0794415416798357,7.680637427560936
1430,steal,8,2167,2.0794415416798357,7.681099001536359
5227,pants,8,2168,2.0794415416798357,7.681560362559537
7427,ears,8,2169,2.0794415416798357,7.682021510826875
5226,note,8,2170,2.0794415416798357,7.682482446534506
3619,heavenly,8,2171,2.0794415416798357,7.682943169878292
5776,verses,8,2172,2.0794415416798357,7.683403681053826
3321,david,8,2173,2.0794415416798357,7.6838639802564295
4190,fu,8,2174,2.0794415416798357,7.684324067681155
5098,mister,8,2175,2.0794415416798357,7.684783943522785
3250,lords,8,2176,2.0794415416798357,7.685243607975833
2469,nick,8,2177,2.0794415416798357,7.685703061234547
4162,eastwest,8,2178,2.0794415416798357,7.686162303492906
1565,rhymin,8,2179,2.0794415416798357,7.68662133494462
6134,form,8,2180,2.0794415416798357,7.687080155783135
4167,columbia,8,2181,2.0794415416798357,7.687538766201629
2059,roses,8,2182,2.0794415416798357,7.687997166393016
6148,movin,8,2183,2.0794415416798357,7.688455356549944
4196,organized,8,2184,2.0794415416798357,7.688913336864796
4177,presents,8,2185,2.0794415416798357,7.68937110752969
1167,rotten,8,2186,2.0794415416798357,7.689828668736484
4185,able,8,2187,2.0794415416798357,7.690286020676768
1388,drunk,8,2188,2.0794415416798357,7.690743163541872
2071,500,8,2189,2.0794415416798357,7.691200097522863
1402,quit,8,2190,2.0794415416798357,7.691656822810547
3190,piper,8,2191,2.0794415416798357,7.692113339595466
8147,h,8,2192,2.0794415416798357,7.692569648067906
1357,swear,8,2193,2.0794415416798357,7.693025748417888
11518,phonte,8,2194,2.0794415416798357,7.693481640835175
5035,2016,8,2195,2.0794415416798357,7.693937325509272
2875,bein,8,2196,2.0794415416798357,7.694392802629421
2093,63,8,2197,2.0794415416798357,7.69484807238461
2459,field,8,2198,2.0794415416798357,7.6953031349635665
9425,spills,8,2199,2.0794415416798357,7.695757990554761
2098,64,8,2200,2.0794415416798357,7.696212639346407
6186,2000,8,2201,2.0794415416798357,7.696667081526462
7494,samples,8,2202,2.0794415416798357,7.697121317282625
2089,61,8,2203,2.0794415416798357,7.697575346802343
1564,runs,7,2204,1.9459101490553132,7.698029170272805
3148,okay,7,2205,1.9459101490553132,7.6984827878809465
1522,places,7,2206,1.9459101490553132,7.698936199813447
3682,melody,7,2207,1.9459101490553132,7.699389406256737
3708,lesson,7,2208,1.9459101490553132,7.699842407396986
8155,atlanta,7,2209,1.9459101490553132,7.700295203420117
5351,sauce,7,2210,1.9459101490553132,7.700747794511798
4295,mia,7,2211,1.9459101490553132,7.701200180857446
458,gats,7,2212,1.9459101490553132,7.701652362642226
3832,beauty,7,2213,1.9459101490553132,7.70210434005105
7519,wishin,7,2214,1.9459101490553132,7.7025561132685825
2578,serious,7,2215,1.9459101490553132,7.703007682479236
3643,malcolm,7,2216,1.9459101490553132,7.703459047867175
5113,notes,7,2217,1.9459101490553132,7.7039102096163115
453,happen,7,2218,1.9459101490553132,7.704361167910313
247,everyone,7,2219,1.9459101490553132,7.704811922932594
4819,onto,7,2220,1.9459101490553132,7.705262474866325
3790,masters,7,2221,1.9459101490553132,7.7057128238944275
3671,bottom,7,2222,1.9459101490553132,7.706162970199576
5237,clear,7,2223,1.9459101490553132,7.706612913964197
1553,actin,7,2224,1.9459101490553132,7.707062655370473
5309,com,7,2225,1.9459101490553132,7.707512194600341
1822,temple,7,2226,1.9459101490553132,7.70796153183549
1262,everyday,7,2227,1.9459101490553132,7.708410667257367
3262,quik,7,2228,1.9459101490553132,7.708859601047175
2463,jon,7,2229,1.9459101490553132,7.709308333385869
3551,international,7,2230,1.9459101490553132,7.709756864454165
5306,knowing,7,2231,1.9459101490553132,7.7102051944325325
5742,grae,7,2232,1.9459101490553132,7.710653323501202
2321,pet,7,2233,1.9459101490553132,7.711101251840158
4425,ras,7,2234,1.9459101490553132,7.711548979629146
11465,doom,7,2235,1.9459101490553132,7.711996507047669
5349,ma$e,7,2236,1.9459101490553132,7.71244383427499
450,letters,7,2237,1.9459101490553132,7.71289096149013
6731,thirty,7,2238,1.9459101490553132,7.71333788887187
3238,unbelievable,7,2239,1.9459101490553132,7.713784616598755
4274,dodgers,7,2240,1.9459101490553132,7.7142311448490855
13603,towards,7,2241,1.9459101490553132,7.714677473800927
1277,buddha,7,2242,1.9459101490553132,7.715123603632105
7161,leaves,7,2243,1.9459101490553132,7.715569534520208
5253,guru,7,2244,1.9459101490553132,7.716015266642587
3099,within,7,2245,1.9459101490553132,7.716460800176355
5533,thrown,7,2246,1.9459101490553132,7.716906135298388
3022,stones,7,2247,1.9459101490553132,7.717351272185329
2652,sets,7,2248,1.9459101490553132,7.717796211013582
4450,sheek,7,2249,1.9459101490553132,7.718240951959316
5681,boat,7,2250,1.9459101490553132,7.718685495198466
1587,twist,7,2251,1.9459101490553132,7.719129840906732
12307,pink,7,2252,1.9459101490553132,7.719573989259581
2380,jane,7,2253,1.9459101490553132,7.720017940432244
2590,hail,7,2254,1.9459101490553132,7.720461694599722
3140,fatal,7,2255,1.9459101490553132,7.720905251936779
5416,brings,7,2256,1.9459101490553132,7.721348612617949
2383,clientele,7,2257,1.9459101490553132,7.721791776817535
5677,production,7,2258,1.9459101490553132,7.722234744709607
11063,amid,7,2259,1.9459101490553132,7.7226775164680035
2722,speed,7,2260,1.9459101490553132,7.723120092266331
4901,jagged,7,2261,1.9459101490553132,7.72356247227797
11195,ant,7,2262,1.9459101490553132,7.724004656676065
3026,writing,7,2263,1.9459101490553132,7.724446645633537
3102,success,7,2264,1.9459101490553132,7.724888439323074
225,watchin,7,2265,1.9459101490553132,7.725330037917135
1742,slip,7,2266,1.9459101490553132,7.725771441587952
3740,revenge,7,2267,1.9459101490553132,7.726212650507529
5643,anger,7,2268,1.9459101490553132,7.7266536648476425
1777,rose,7,2269,1.9459101490553132,7.727094484779841
3257,flatbush,7,2270,1.9459101490553132,7.727535110475448
4335,1996,7,2271,1.9459101490553132,7.7279755421055585
3614,stevie,7,2272,1.9459101490553132,7.7284157798410416
1614,servin,7,2273,1.9459101490553132,7.728855823852543
4430,metal,7,2274,1.9459101490553132,7.729295674310482
5460,dah,7,2275,1.9459101490553132,7.729735331385051
3247,showbiz,7,2276,1.9459101490553132,7.730174795246222
365,match,7,2277,1.9459101490553132,7.7306140660637395
2704,grave,7,2278,1.9459101490553132,7.731053144007127
4320,swords,7,2279,1.9459101490553132,7.731492029245684
3253,prez,7,2280,1.9459101490553132,7.731930721948486
1813,nuts,7,2281,1.9459101490553132,7.732369222284388
2429,chains,7,2282,1.9459101490553132,7.732807530422021
5601,non,7,2283,1.9459101490553132,7.733245646529795
3752,justice,7,2284,1.9459101490553132,7.7336835707759
2617,ate,7,2285,1.9459101490553132,7.734121303328305
7421,trees,7,2286,1.9459101490553132,7.734558844354756
5222,favor,7,2287,1.9459101490553132,7.734996194022781
3123,gain,7,2288,1.9459101490553132,7.7354333524996886
2536,techno,7,2289,1.9459101490553132,7.735870319952567
7291,pioneer,7,2290,1.9459101490553132,7.736307096548285
337,pepa,7,2291,1.9459101490553132,7.736743682453495
2534,sunny,7,2292,1.9459101490553132,7.73718007783463
5508,ups,7,2293,1.9459101490553132,7.737616282857904
5617,pre,7,2294,1.9459101490553132,7.738052297689316
8056,waters,7,2295,1.9459101490553132,7.738488122494646
2522,limb,7,2296,1.9459101490553132,7.738923757439457
2529,angels,7,2297,1.9459101490553132,7.739359202689098
1773,blew,7,2298,1.9459101490553132,7.739794458408701
11589,necro,7,2299,1.9459101490553132,7.740229524763182
172,frontin,7,2300,1.9459101490553132,7.7406644019172415
4239,hoodlum,7,2301,1.9459101490553132,7.741099090035366
6717,hearts,7,2302,1.9459101490553132,7.741533589281828
439,peeps,7,2303,1.9459101490553132,7.741967899820685
3585,bon,7,2304,1.9459101490553132,7.742402021815782
3584,a.k.a,7,2305,1.9459101490553132,7.742835955430749
3809,d.c,7,2306,1.9459101490553132,7.743269700829004
3605,pee,7,2307,1.9459101490553132,7.7437032581737535
8235,lots,7,2308,1.9459101490553132,7.744136627627991
4864,design,7,2309,1.9459101490553132,7.744569809354496
5407,size,7,2310,1.9459101490553132,7.745002803515839
1710,fan,7,2311,1.9459101490553132,7.745435610274381
9812,ugh,7,2312,1.9459101490553132,7.7458682297922685
6122,pledge,7,2313,1.9459101490553132,7.746300662231439
2119,arthur,7,2314,1.9459101490553132,7.746732907753622
2959,died,7,2315,1.9459101490553132,7.747164966520335
8478,psycho,7,2316,1.9459101490553132,7.7475968386928855
1198,flippin,7,2317,1.9459101490553132,7.748028524432376
516,flat,7,2318,1.9459101490553132,7.748460023899697
9794,walking,7,2319,1.9459101490553132,7.7488913372555315
3459,0,7,2320,1.9459101490553132,7.749322464660356
6827,wearing,7,2321,1.9459101490553132,7.749753406274437
843,shinin,7,2322,1.9459101490553132,7.7501841622578365
1387,breakin,7,2323,1.9459101490553132,7.750614732770409
6024,fed,7,2324,1.9459101490553132,7.751045117971802
8586,telly,7,2325,1.9459101490553132,7.751475318021456
3981,wrath,7,2326,1.9459101490553132,7.75190533307861
4184,chemistry,7,2327,1.9459101490553132,7.752335163302292
